Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Location,School_Type_Id,School_Type,Total_Number_of_Schools,Building,Complete_Medical_Checkup,Computer_Available,Functional_Drinking_Water,Drinking_Water,Functional_Electricity,Functional_Boy_Toilet,Functional_Girl_Toilet,Functional_Toilet_Facility,Functional_Toilet_and_Urinal,Functional_Urinal,Functional_Urinal_Boy,Functional_Urinal_Girl,Handwash,Separate_Room_for_Headmaster,Incinerator,Internet,Kitchen_Garden,Land_Available,Librarian,Library_or_Reading_Corner_or_Book_Bank,Medical_Checkup,Newspaper,Playground,Rain_Water_Harvesting,Ramps,Solar_Panel,Furniture,Water_Purifier,Water_Tested
2016-17,9,Uttar Pradesh,944,KAUSHAMBI,94401,MANJHANPUR,3,HSS (I-XII),2,Tribal Welfare Department,Rural,1,Boys,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0
2016-17,9,Uttar Pradesh,944,KAUSHAMBI,94401,MANJHANPUR,3,HSS (I-XII),4,Government Aided,Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0
2016-17,9,Uttar Pradesh,944,KAUSHAMBI,94401,MANJHANPUR,10,HSS (IX-XII),5,Private Unaided (Recognized),Rural,1,Boys,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0
2016-17,9,Uttar Pradesh,944,KAUSHAMBI,94401,MANJHANPUR,10,HSS (IX-XII),5,Private Unaided (Recognized),Rural,3,Co-Ed,8,8,0,8,8,8,7,8,8,8,0,0,0,0,8,8,0,5,0,8,5,7,0,5,8,5,1,0,8,0,0
2016-17,9,Uttar Pradesh,944,KAUSHAMBI,94401,MANJHANPUR,10,HSS (IX-XII),5,Private Unaided (Recognized),Urban,3,Co-Ed,2,2,0,1,2,2,2,2,2,2,0,0,0,0,2,2,0,2,0,2,1,1,0,1,2,1,1,0,2,0,0
2016-17,9,Uttar Pradesh,944,KAUSHAMBI,94401,MANJHANPUR,5,HSS (VI-XII),4,Government Aided,Rural,3,Co-Ed,2,2,0,2,2,2,2,2,2,2,0,0,0,0,2,2,0,1,0,2,1,2,1,2,2,0,2,0,2,0,0
2016-17,9,Uttar Pradesh,944,KAUSHAMBI,94401,MANJHANPUR,5,HSS (VI-XII),5,Private Unaided (Recognized),Rural,3,Co-Ed,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,0
2016-17,9,Uttar Pradesh,944,KAUSHAMBI,94401,MANJHANPUR,5,HSS (VI-XII),7,Central Govt,Rural,3,Co-Ed,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0
2016-17,9,Uttar Pradesh,944,KAUSHAMBI,94401,MANJHANPUR,1,PS (I-V),1,Department of Education,Rural,3,Co-Ed,125,125,0,5,99,102,37,125,125,125,0,0,0,0,97,117,0,0,119,29,0,112,78,4,111,0,123,0,104,0,0
2016-17,9,Uttar Pradesh,944,KAUSHAMBI,94401,MANJHANPUR,1,PS (I-V),3,Local body,Rural,3,Co-Ed,2,2,0,1,2,2,1,2,2,2,0,0,0,0,2,2,0,0,1,0,0,2,0,1,2,0,2,0,2,0,0
